ID;SOA;Condition;Panel;Reaction Time (ms)
25;short;II;T1-locked RT;1268.47
26;short;II;T1-locked RT;945.34
27;short;II;T1-locked RT;775.17
28;short;II;T1-locked RT;1143.11
29;short;II;T1-locked RT;928
30;short;II;T1-locked RT;1010.44
31;short;II;T1-locked RT;1173.85
32;short;II;T1-locked RT;958.9
33;short;II;T1-locked RT;1137.04
34;short;II;T1-locked RT;749
35;short;II;T1-locked RT;911.67
36;short;II;T1-locked RT;1088.14
37;short;II;T1-locked RT;732.42
38;short;II;T1-locked RT;836.67
39;short;II;T1-locked RT;1160.8
40;short;II;T1-locked RT;1168.82
1;long;CC;T1-locked RT;748.27
2;long;CC;T1-locked RT;722.14
3;long;CC;T1-locked RT;622.47
4;long;CC;T1-locked RT;735.46
5;long;CC;T1-locked RT;734.62
6;long;CC;T1-locked RT;668.83
7;long;CC;T1-locked RT;534.19
8;long;CC;T1-locked RT;1027
9;long;CC;T1-locked RT;620.16
10;long;CC;T1-locked RT;716.13
11;long;CC;T1-locked RT;744.59
12;long;CC;T1-locked RT;561.02
13;long;CC;T1-locked RT;590.7
14;long;CC;T1-locked RT;747.22
15;long;CC;T1-locked RT;616.33
16;long;CC;T1-locked RT;615.65
17;long;CC;T1-locked RT;526.56
18;long;CC;T1-locked RT;781.2
19;long;CC;T1-locked RT;547.84
20;long;CC;T1-locked RT;876.38
21;long;CC;T1-locked RT;693.38
22;long;CC;T1-locked RT;708.886052631579
23;long;CC;T1-locked RT;686.666052631579
24;long;CC;T1-locked RT;846.55
25;long;CC;T1-locked RT;771.06
26;long;CC;T1-locked RT;682.65
27;long;CC;T1-locked RT;574.16
28;long;CC;T1-locked RT;836.14
29;long;CC;T1-locked RT;692.17
30;long;CC;T1-locked RT;762.16
31;long;CC;T1-locked RT;782.6
32;long;CC;T1-locked RT;667.02
33;long;CC;T1-locked RT;714.58
34;long;CC;T1-locked RT;583.43
35;long;CC;T1-locked RT;669.14
36;long;CC;T1-locked RT;775.79
37;long;CC;T1-locked RT;483.55
38;long;CC;T1-locked RT;522.39
39;long;CC;T1-locked RT;665.94
40;long;CC;T1-locked RT;676.02
1;long;CI;T1-locked RT;731.9
2;long;CI;T1-locked RT;772.07
3;long;CI;T1-locked RT;624.14
4;long;CI;T1-locked RT;753.04
5;long;CI;T1-locked RT;764.33
6;long;CI;T1-locked RT;725.53
7;long;CI;T1-locked RT;541.19
8;long;CI;T1-locked RT;1047.02
9;long;CI;T1-locked RT;650.16
10;long;CI;T1-locked RT;714.65
11;long;CI;T1-locked RT;772.74
12;long;CI;T1-locked RT;595.83
