ID;SOA;Condition;T1cond;T2cond;Panel;Accuracy (%);Error Rate (%)
11;long;II;I;I;T2-locked ACC;67.97;32.03
12;long;II;I;I;T2-locked ACC;95.31;4.69
13;long;II;I;I;T2-locked ACC;44.53;55.47
14;long;II;I;I;T2-locked ACC;85.94;14.06
15;long;II;I;I;T2-locked ACC;72.66;27.34
16;long;II;I;I;T2-locked ACC;89.84;10.16
17;long;II;I;I;T2-locked ACC;48.44;51.56
18;long;II;I;I;T2-locked ACC;61.72;38.28
19;long;II;I;I;T2-locked ACC;49.22;50.78
20;long;II;I;I;T2-locked ACC;86.72;13.28
21;long;II;I;I;T2-locked ACC;78.91;21.09
22;long;II;I;I;T2-locked ACC;75;25
23;long;II;I;I;T2-locked ACC;70.31;29.69
24;long;II;I;I;T2-locked ACC;62.5;37.5
25;long;II;I;I;T2-locked ACC;74.22;25.78
26;long;II;I;I;T2-locked ACC;88.28;11.72
27;long;II;I;I;T2-locked ACC;98.44;1.56
28;long;II;I;I;T2-locked ACC;61.72;38.28
29;long;II;I;I;T2-locked ACC;63.28;36.72
30;long;II;I;I;T2-locked ACC;52.34;47.66
31;long;II;I;I;T2-locked ACC;78.91;21.09
32;long;II;I;I;T2-locked ACC;89.06;10.94
33;long;II;I;I;T2-locked ACC;35.16;64.84
34;long;II;I;I;T2-locked ACC;58.59;41.41
35;long;II;I;I;T2-locked ACC;68.75;31.25
36;long;II;I;I;T2-locked ACC;85.16;14.84
37;long;II;I;I;T2-locked ACC;87.5;12.5
38;long;II;I;I;T2-locked ACC;72.13;27.87
39;long;II;I;I;T2-locked ACC;74.41;25.59
40;long;II;I;I;T2-locked ACC;72.18;27.82
