ID;SOA;Condition;T1cond;T2cond;Panel;Reaction Time (ms)
39;short;IC;I;C;T1-locked RT;986.223717105263
40;short;IC;I;C;T1-locked RT;989.735594454888
1;short;II;I;I;T1-locked RT;1164.34
2;short;II;I;I;T1-locked RT;1168.76
3;short;II;I;I;T1-locked RT;730.72
4;short;II;I;I;T1-locked RT;1029.13
5;short;II;I;I;T1-locked RT;1022.29
6;short;II;I;I;T1-locked RT;1122.8
7;short;II;I;I;T1-locked RT;1243.99
8;short;II;I;I;T1-locked RT;923.19
9;short;II;I;I;T1-locked RT;999.47
10;short;II;I;I;T1-locked RT;1140.68
11;short;II;I;I;T1-locked RT;1190.67
12;short;II;I;I;T1-locked RT;955.56
13;short;II;I;I;T1-locked RT;1161.22
14;short;II;I;I;T1-locked RT;971.71
15;short;II;I;I;T1-locked RT;1038.9
16;short;II;I;I;T1-locked RT;1195.28
17;short;II;I;I;T1-locked RT;1561.64
18;short;II;I;I;T1-locked RT;1243.67
19;short;II;I;I;T1-locked RT;1026.44
20;short;II;I;I;T1-locked RT;1163.91
21;short;II;I;I;T1-locked RT;1071.18
22;short;II;I;I;T1-locked RT;1138.63
23;short;II;I;I;T1-locked RT;814.27
24;short;II;I;I;T1-locked RT;1185.17
25;short;II;I;I;T1-locked RT;1076.42
26;short;II;I;I;T1-locked RT;880.25
27;short;II;I;I;T1-locked RT;998.74
28;short;II;I;I;T1-locked RT;777.81
29;short;II;I;I;T1-locked RT;994.47
30;short;II;I;I;T1-locked RT;934.53
31;short;II;I;I;T1-locked RT;966.16
32;short;II;I;I;T1-locked RT;883.44
33;short;II;I;I;T1-locked RT;867
34;short;II;I;I;T1-locked RT;749.6
35;short;II;I;I;T1-locked RT;893.37
36;short;II;I;I;T1-locked RT;1034.23
37;short;II;I;I;T1-locked RT;825.88
38;short;II;I;I;T1-locked RT;1038.8225
39;short;II;I;I;T1-locked RT;1031.16690789474
40;short;II;I;I;T1-locked RT;1038.64022399749
1;long;CC;C;C;T1-locked RT;954.5
2;long;CC;C;C;T1-locked RT;944.7
3;long;CC;C;C;T1-locked RT;581.4
4;long;CC;C;C;T1-locked RT;694.8
5;long;CC;C;C;T1-locked RT;761.62
6;long;CC;C;C;T1-locked RT;899.71
7;long;CC;C;C;T1-locked RT;779.06
8;long;CC;C;C;T1-locked RT;762.11
9;long;CC;C;C;T1-locked RT;769.97
10;long;CC;C;C;T1-locked RT;1177.17
11;long;CC;C;C;T1-locked RT;888.59
