ID;SOA;Condition;T1cond;T2cond;Panel;Reaction Time (ms)
33;long;IC;I;C;T2-locked RT;415.02
34;long;IC;I;C;T2-locked RT;515.46
35;long;IC;I;C;T2-locked RT;643.67
36;long;IC;I;C;T2-locked RT;639.83
37;long;IC;I;C;T2-locked RT;565.11
38;long;IC;I;C;T2-locked RT;648.5785
39;long;IC;I;C;T2-locked RT;645.22075
40;long;IC;I;C;T2-locked RT;648.498553571429
1;long;II;I;I;T2-locked RT;961.08
2;long;II;I;I;T2-locked RT;851.15
3;long;II;I;I;T2-locked RT;583.5
4;long;II;I;I;T2-locked RT;691.32
5;long;II;I;I;T2-locked RT;802.16
6;long;II;I;I;T2-locked RT;847.21
7;long;II;I;I;T2-locked RT;843.41
8;long;II;I;I;T2-locked RT;710.81
9;long;II;I;I;T2-locked RT;769.63
10;long;II;I;I;T2-locked RT;913.31
11;long;II;I;I;T2-locked RT;875.05
12;long;II;I;I;T2-locked RT;708.02
13;long;II;I;I;T2-locked RT;245.81
14;long;II;I;I;T2-locked RT;702.12
15;long;II;I;I;T2-locked RT;808.91
16;long;II;I;I;T2-locked RT;806.34
17;long;II;I;I;T2-locked RT;792.5
18;long;II;I;I;T2-locked RT;903.31
19;long;II;I;I;T2-locked RT;640.68
20;long;II;I;I;T2-locked RT;794.85
21;long;II;I;I;T2-locked RT;862.55
22;long;II;I;I;T2-locked RT;782.3
23;long;II;I;I;T2-locked RT;614.49
24;long;II;I;I;T2-locked RT;910.83
25;long;II;I;I;T2-locked RT;760.09
26;long;II;I;I;T2-locked RT;781.47
27;long;II;I;I;T2-locked RT;737.5
28;long;II;I;I;T2-locked RT;859.25
29;long;II;I;I;T2-locked RT;888.51
30;long;II;I;I;T2-locked RT;575.87
31;long;II;I;I;T2-locked RT;786.65
32;long;II;I;I;T2-locked RT;725.89
33;long;II;I;I;T2-locked RT;473.07
34;long;II;I;I;T2-locked RT;614.73
35;long;II;I;I;T2-locked RT;718.78
36;long;II;I;I;T2-locked RT;740.12
37;long;II;I;I;T2-locked RT;648.13
38;long;II;I;I;T2-locked RT;720.7385
39;long;II;I;I;T2-locked RT;748.740486842105
40;long;II;I;I;T2-locked RT;721.405213972431
